dataset;pretty_name;preprocessA;normalise_by_num_nodes;batch_size;mean_acc;acc_std;mean_train_time(s);time_std;all_accs;all_times
NCI1;NCI-1;['add_self_loops', 'sym_normalise_A'];False;50;0.704444448153178;0.027143877303485654;269.9573127985001;15.35975424074295;[0.7200000087420145, 0.7355555560853746, 0.6644444399409823, 0.6888889008098178, 0.7222222288449606, 0.748888889948527, 0.717777775393592, 0.6733333402209811, 0.6755555669466654, 0.6977777745988634];[228.43346786499023, 271.96007013320923, 273.1283383369446, 271.8130543231964, 269.06815934181213, 273.21361351013184, 265.49887895584106, 272.6824872493744, 285.2265291213989, 288.5485291481018]
NCI109;NCI-109;['add_self_loops', 'sym_normalise_A'];False;50;0.6920000029934777;0.026052177201144215;282.8049733400345;8.389762107393745;[0.6888888941870795, 0.6399999989403619, 0.6888888941870795, 0.7000000013245476, 0.7155555552906461, 0.6644444598091973, 0.6933333343929715, 0.7244444489479065, 0.6755555603239272, 0.7288888825310601];[271.5374639034271, 275.06797194480896, 272.4200942516327, 272.41512751579285, 284.1969780921936, 288.58505368232727, 290.9124619960785, 290.8950562477112, 291.23730421066284, 290.78222155570984]
PTC_MM;PTC-MM;['add_self_loops', 'sym_normalise_A'];False;50;0.663118314743042;0.06743457724418876;45.639539790153506;12.170865231254;[0.7352941036224365, 0.7647058963775635, 0.529411792755127, 0.6764705777168274, 0.7352941036224365, 0.6764705777168274, 0.6470588445663452, 0.6363636255264282, 0.6363636255264282, 0.59375];[52.20166611671448, 52.98062348365784, 53.471789598464966, 53.56412744522095, 26.920010805130005, 27.153146743774414, 27.182769775390625, 53.95639896392822, 53.528528690338135, 55.436336278915405]
PTC_FM;PTC-FM;['add_self_loops', 'sym_normalise_A'];False;50;0.6193744301795959;0.052772626128853486;36.06630423069;10.833862476514811;[0.6388888955116272, 0.6388888955116272, 0.5, 0.6000000238418579, 0.5714285969734192, 0.6857143044471741, 0.6764705777168274, 0.5882353186607361, 0.6470588445663452, 0.6470588445663452];[28.08250617980957, 28.287474632263184, 28.192784070968628, 48.67412495613098, 55.703989028930664, 52.818864822387695, 30.362042665481567, 28.912700176239014, 29.39606213569641, 30.23249363899231]
PTC_MR;PTC-MR;['add_self_loops', 'sym_normalise_A'];False;50;0.5171568661928176;0.08957840641415339;41.65460200309754;12.783116379014348;[0.6111111044883728, 0.4722222089767456, 0.4117647111415863, 0.5588235259056091, 0.3529411852359772, 0.6470588445663452, 0.529411792755127, 0.6176470518112183, 0.5, 0.47058823704719543];[55.840866804122925, 56.255377769470215, 30.25394368171692, 30.647731065750122, 30.498427629470825, 30.865254640579224, 58.71215081214905, 58.17238807678223, 31.7317054271698, 33.56817412376404]
PTC_FR;PTC-FR;['add_self_loops', 'sym_normalise_A'];False;50;0.65809525847435;0.03625307652614675;40.97202105522156;11.037411622311183;[0.6666666865348816, 0.6857143044471741, 0.5714285969734192, 0.6857143044471741, 0.6571428775787354, 0.7142857313156128, 0.6571428775787354, 0.6571428775787354, 0.6571428775787354, 0.6285714507102966];[32.60164976119995, 32.997174978256226, 59.47929549217224, 52.12249541282654, 33.09785866737366, 34.005021810531616, 34.10361576080322, 34.57992076873779, 60.81239676475525, 35.92078113555908]
ENZYMES;ENZYMES;['sym_normalise_A'];True;50;0.17000000178813934;0.014142136888136562;79.03425307273865;38.97267448590568;[0.17000000178813934, 0.1599999964237213, 0.17000000178813934, 0.17000000178813934, 0.1900000050663948, 0.14000000059604645, 0.1900000050663948, 0.1600000038743019, 0.17999999970197678, 0.17000000178813934];[51.34957504272461, 51.74986934661865, 136.3582468032837, 53.02710294723511, 53.58096623420715, 138.45485377311707, 54.54753756523132, 55.041297912597656, 140.73810982704163, 55.49497127532959]
MUTAG;MUTAG;['sym_normalise_A'];True;50;0.3348245620727539;0.011944329236575003;42.29871747493744;7.116841718235051;[0.3499999940395355, 0.3499999940395355, 0.3499999940395355, 0.31578946113586426, 0.31578946113586426, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408, 0.3333333432674408];[38.24669075012207, 36.34151101112366, 51.95490646362305, 52.231966733932495, 36.28064942359924, 36.946935176849365, 36.5183801651001, 36.79771375656128, 53.76970982551575, 43.89871144294739]
NCI1;NCI-1;['sym_normalise_A'];True;50;0.4944444427887599;0.01590869037096614;284.0786201953888;21.080470581331813;[0.48444443941116333, 0.5022222234143151, 0.5, 0.4955555498600006, 0.4888888895511627, 0.45777777830759686, 0.48666666282547844, 0.5155555539660983, 0.4977777732743157, 0.5155555572774675];[223.5723361968994, 279.8199031352997, 298.1300754547119, 301.7264039516449, 291.98169136047363, 284.3033194541931, 286.41648411750793, 288.24005365371704, 292.77701807022095, 293.81891655921936]
NCI109;NCI-109;['sym_normalise_A'];True;50;0.4851111110713747;0.01735753272872242;297.771661901474;7.324330659334238;[0.4911110997200012, 0.4955555498600006, 0.47999999589390224, 0.5088888936572604, 0.4555555582046509, 0.457777781618966, 0.5000000099341074, 0.47333333558506435, 0.48666666282547844, 0.5022222234143151];[292.95560789108276, 295.86527824401855, 295.6293771266937, 293.7531247138977, 292.6571078300476, 294.79914355278015, 293.50029492378235, 298.79847407341003, 318.28796005249023, 301.47025060653687]
PTC_MM;PTC-MM;['sym_normalise_A'];True;50;0.6160650610923767;0.0054546266039771285;54.23385324478149;11.745631479369479;[0.6176470518112183, 0.6176470518112183, 0.6176470518112183, 0.6176470518112183, 0.6176470518112183, 0.6176470518112183, 0.6176470518112183, 0.6060606241226196, 0.6060606241226196, 0.625];[44.36036658287048, 70.76667857170105, 71.06868839263916, 45.27216982841492, 44.83173179626465, 45.731298208236694, 72.70360445976257, 55.89712357521057, 45.87320423126221, 45.83366680145264]
PTC_FM;PTC-FM;['sym_normalise_A'];True;50;0.5902941286563873;0.00667028367333652;54.433980226516724;10.132961299318307;[0.5833333134651184, 0.5833333134651184, 0.5833333134651184, 0.6000000238418579, 0.6000000238418579, 0.6000000238418579, 0.5882353186607361, 0.5882353186607361, 0.5882353186607361, 0.5882353186607361];[63.891263246536255, 69.47812962532043, 49.4779052734375, 47.22429895401001, 47.21629285812378, 74.87056136131287, 47.40415596961975, 47.69442939758301, 48.07987022399902, 49.00289535522461]
PTC_MR;PTC-MR;['sym_normalise_A'];True;50;0.558169937133789;0.0013071775436401367;51.12155730724335;3.317583406320286;[0.5555555820465088, 0.5555555820465088, 0.5588235259056091, 0.5588235259056091, 0.5588235259056091, 0.5588235259056091, 0.5588235259056091, 0.5588235259056091, 0.5588235259056091, 0.5588235259056091];[48.69320797920227, 48.326268911361694, 48.631264209747314, 49.24228858947754, 60.185367822647095, 50.403260469436646, 51.07610034942627, 50.63095736503601, 53.04241681098938, 50.98444056510925]
PTC_FR;PTC-FR;['sym_normalise_A'];True;50;0.6553174793720246;0.0054761946201324465;53.01667280197144;1.0341368388073955;[0.6388888955116272, 0.6571428775787354, 0.6571428775787354, 0.6571428775787354, 0.6571428775787354, 0.6571428775787354, 0.6571428775787354, 0.6571428775787354, 0.6571428775787354, 0.6571428775787354];[51.53044366836548, 51.45706224441528, 52.72290587425232, 52.50486946105957, 52.6017062664032, 53.650965452194214, 52.786731481552124, 54.06079053878784, 54.51783776283264, 54.333415269851685]
